source	target	polarity
pubchem.compound:5342	ncbigene:4363	-1
pubchem.compound:247839	ncbigene:2908	1
pubchem.compound:146570	ncbigene:146	-1
pubchem.compound:54746	ncbigene:150	-1
pubchem.compound:44462760	ncbigene:3984	-1
pubchem.compound:4184	ncbigene:1813	-1
pubchem.compound:3784	ncbigene:779	-1
pubchem.compound:12035	ncbigene:2906	1
pubchem.compound:4205	ncbigene:3358	-1
pubchem.compound:20279	ncbigene:5426	-1
pubchem.compound:56959	ncbigene:153	-1
pubchem.compound:60854	ncbigene:1812	-1
pubchem.compound:5311181	ncbigene:5142	1
pubchem.compound:6279	ncbigene:2566	-1
pubchem.compound:4737	ncbigene:2555	1
pubchem.compound:5281071	ncbigene:6283	-1
pubchem.compound:6918837	ncbigene:10014	-1
pubchem.compound:54687	ncbigene:3156	-1
pubchem.compound:4632	ncbigene:5241	-1
pubchem.compound:6000	ncbigene:43	-1
pubchem.compound:3290	ncbigene:1129	-1
pubchem.compound:71360	ncbigene:148	-1
pubchem.compound:4235	ncbigene:4128	-1
pubchem.compound:3371	ncbigene:5468	1
pubchem.compound:60795	ncbigene:3358	-1
pubchem.compound:5310966	ncbigene:1136	1
pubchem.compound:5152	ncbigene:155	1
pubchem.compound:3878	ncbigene:2563	-1
pubchem.compound:10184653	ncbigene:1956	-1
pubchem.compound:4184	ncbigene:147	-1
pubchem.compound:208908	ncbigene:2064	-1
pubchem.compound:4205	ncbigene:148	-1
pubchem.compound:82146	ncbigene:6257	1
pubchem.compound:60854	ncbigene:1814	-1
pubchem.compound:4828	ncbigene:154	1
pubchem.compound:5360696	ncbigene:4689	-1
pubchem.compound:446220	ncbigene:6532	-1
pubchem.compound:3343	ncbigene:154	1
pubchem.compound:2733526	ncbigene:5582	-1
pubchem.compound:3168	ncbigene:1813	-1
pubchem.compound:31307	ncbigene:2908	1
pubchem.compound:5311507	ncbigene:148	-1
pubchem.compound:36462	ncbigene:7155	-1
pubchem.compound:4909	ncbigene:2563	1
pubchem.compound:4497	ncbigene:779	-1
pubchem.compound:4748	ncbigene:1813	-1
pubchem.compound:60795	ncbigene:1813	-1
pubchem.compound:4993	ncbigene:1719	-1
pubchem.compound:24826799	ncbigene:2260	-1
pubchem.compound:5311304	ncbigene:4985	-1
pubchem.compound:3878	ncbigene:1816	-1
pubchem.compound:3062316	ncbigene:5159	-1
pubchem.compound:4184	ncbigene:152	-1
pubchem.compound:3476	ncbigene:3758	-1
pubchem.compound:12035	ncbigene:2937	1
pubchem.compound:56959	ncbigene:779	-1
pubchem.compound:3396	ncbigene:1813	-1
pubchem.compound:216239	ncbigene:2260	-1
pubchem.compound:5360696	ncbigene:1137	-1
pubchem.compound:5472	ncbigene:64805	-1
pubchem.compound:5833	ncbigene:779	-1
pubchem.compound:6047	ncbigene:1813	1
pubchem.compound:2170	ncbigene:3269	-1
pubchem.compound:2118	ncbigene:2566	1
pubchem.compound:3386	ncbigene:6532	-1
pubchem.compound:5328940	ncbigene:5604	-1
pubchem.compound:3488	ncbigene:10060	1
pubchem.compound:5509	ncbigene:5742	-1
pubchem.compound:5330286	ncbigene:1019	-1
pubchem.compound:5280360	ncbigene:5731	1
pubchem.compound:5775	ncbigene:146	-1
pubchem.compound:33741	ncbigene:1128	-1
pubchem.compound:4485	ncbigene:801	-1
pubchem.compound:5593	ncbigene:1129	-1
pubchem.compound:4909	ncbigene:2898	-1
pubchem.compound:4046	ncbigene:3039	-1
pubchem.compound:667468	ncbigene:1129	-1
pubchem.compound:3749	ncbigene:185	-1
pubchem.compound:4011	ncbigene:3269	-1
pubchem.compound:2471	ncbigene:57468	-1
pubchem.compound:3333	ncbigene:4306	-1
pubchem.compound:5505	ncbigene:6833	-1
pubchem.compound:60795	ncbigene:150	-1
pubchem.compound:24826799	ncbigene:3791	-1
pubchem.compound:1548887	ncbigene:5742	-1
pubchem.compound:5095	ncbigene:150	-1
pubchem.compound:56959	ncbigene:6324	-1
pubchem.compound:4171	ncbigene:154	-1
pubchem.compound:3341	ncbigene:1816	1
pubchem.compound:5311217	ncbigene:775	-1
pubchem.compound:5819	ncbigene:7068	1
pubchem.compound:60854	ncbigene:150	-1
pubchem.compound:4737	ncbigene:2903	-1
pubchem.compound:5282181	ncbigene:7421	1
pubchem.compound:5360696	ncbigene:1535	-1
pubchem.compound:30323	ncbigene:7155	-1
pubchem.compound:5833	ncbigene:8913	-1
pubchem.compound:57363	ncbigene:6716	-1
pubchem.compound:15209	ncbigene:2908	1
pubchem.compound:5656	ncbigene:6530	-1
pubchem.compound:146570	ncbigene:151	-1
pubchem.compound:3878	ncbigene:3269	-1
pubchem.compound:54746	ncbigene:1816	1
pubchem.compound:4474	ncbigene:783	-1
pubchem.compound:5311217	ncbigene:779	-1
pubchem.compound:5833	ncbigene:5241	1
pubchem.compound:60854	ncbigene:1128	-1
pubchem.compound:2585	ncbigene:147	-1
pubchem.compound:4737	ncbigene:2906	-1
pubchem.compound:2170	ncbigene:3356	-1
pubchem.compound:4499	ncbigene:779	-1
pubchem.compound:2118	ncbigene:2560	1
pubchem.compound:5745	ncbigene:2908	1
pubchem.compound:5328940	ncbigene:613	-1
pubchem.compound:6215	ncbigene:301	1
pubchem.compound:2554	ncbigene:6323	-1
pubchem.compound:5073	ncbigene:1814	-1
pubchem.compound:3676	ncbigene:6331	-1
pubchem.compound:667468	ncbigene:3274	-1
pubchem.compound:2375	ncbigene:367	-1
pubchem.compound:5503	ncbigene:6833	-1
pubchem.compound:3333	ncbigene:776	-1
